Время,Масса,Скорость,Высота
5102.9,107.5,1416.6,807540.9
5103.0,107.5,1416.5,807576.5
5103.1,107.5,1416.5,807612.2
5103.2,107.5,1416.4,807647.8
5103.3,107.5,1416.4,807683.4
5103.4,107.5,1416.3,807719.1
5103.5,107.5,1416.3,807754.7
5103.6,107.5,1416.2,807790.3
5103.7,107.5,1416.2,807825.9
5103.8,107.5,1416.1,807861.5
5103.9,107.5,1416.1,807897.1
5104.0,107.5,1416.0,807932.7
5104.1,107.5,1416.0,807968.3
5104.2,107.5,1415.9,808003.9
5104.3,107.5,1415.9,808039.5
5104.4,107.5,1415.8,808075.0
5104.5,107.5,1415.8,808110.6
5104.6,107.5,1415.7,808146.2
5104.7,107.5,1415.7,808181.8
